"A23B4D4","{3*K1 - 2*K15 - K16 + 3*K2 + K3 + K6, -4*K15 - 2*K16 + 6*K2 + K7, -3*K15 - (3*K16)/2 + (9*K2)/2 - K3/2 - K4/2 + K9, (-2*M1)/3 - M2/3 + M3}","{}","Text[""(Demonstrably impossible)""]"
"A23B1E1","{-K15 + K16, 3*K15 + K7, (9*K15)/4 - K3/2 - K4/2 + K9, M1, M2}","{K15, 3*K15 - K3 - K6, {3*K15 - 2*K2, M3}, {3*K1 - 3*K15 + 3*K2 + K3 + K6, M3}, {K3 + K6, 3*K15 - K4 + 2*K6}}","Text[""(Demonstrably impossible)""]"
"A23B1E2","{-K15 + K16, -6*K15 + 6*K2 + K7, (-9*K15)/2 + (9*K2)/2 - K3/2 - K4/2 + K9, -M1 + M2, -M1 + M3}","{3*K1 - 3*K15 + 3*K2 + K3 + K6, {3*K15 - 2*K2, M1}, {K15, M1}, {3*K15 - K3 - K6, M1}}","Text[""(Demonstrably impossible)""]"
"A23B4E1","{3*K1 - 4*K15 - 2*K16 + 3*K2 + 2*K3 + K4, 3*K1 - 2*K15 - K16 + 3*K2 + K3 + K6, (3*K1)/4 + (3*K2)/4 + K3/2 + K9, 2*M1 + M2, M3}","{2*K15 + K16, K1 + K2, {K15 - K16, M1}, {3*K1 - 4*K15 + 3*K2 + 2*K3, M1}, {2*K15 + K16 + K7, 3*K1 + 3*K2 + K7}}",""
"A23B4E2","{-6*K1 + 8*K15 - 2*K16 - 6*K2 - 4*K3 + K4, 3*K1 - 2*K15 - K16 + 3*K2 + K3 + K6, 3*K1 - 3*K15 + 3*K2 + 2*K3 + K9, -M1 + M2, -M1 + M3}","{K15 - K16, {3*K1 - 4*K15 + 3*K2 + 2*K3, M1}, {2*K15 + K16, M1}, {K1 + K2, M1}}","Text[""(Demonstrably impossible)""]"
"A23C1E1","{-K15 + K16, 3*K15 - K3 - K4 + K6, (3*K15)/2 - K4/4 + K9, M1, M2}","{2*K15 - K4, K15, 6*K15 - 2*K3 - K4, {3*K1 - 6*K15 + 3*K2 + 2*K3 + K4, M3}, {2*K3 + K4 + K7, 3*K15 + K7}}","Text[""(Demonstrably impossible)""]"
"A23C1E2","{-2*K16 + K4, 2*K15 - K16 - K3 + K6, K15 + K9, M1, M2}","{K15 - K16, 2*K15 + K16, 2*K15 - K3, {3*K1 - 4*K15 + 3*K2 + 2*K3, M3}}","Text[""(Demonstrably impossible)""]"
"A23C1E3","{-2*K15 - K16 + 2*K3 + K4, K3 + K6, 2*K15 + K16 + K7, K15/2 + K16/4 + K3/2 + K9, 2*M1 + M2}","{2*K15 + K16, {K15 - K16, M1}, {3*K1 - 2*K15 - K16 + 3*K2, M3}}","Text[""(Demonstrably impossible)""]"
"A23C2E1","{2*K15 + K16, 6*K15 - K3 + K4/2 + K6, 3*K15 + K4/2 + K9, M1, M2}","{K15, 4*K15 + K4, 12*K15 - 4*K3 + K4, {6*K1 - 12*K15 + 6*K2 + 4*K3 - K4, M3}}","Text[""(Demonstrably impossible)""]"
"A23C2E3","{8*K15 - 2*K16 - 4*K3 + K4, -2*K15 - K16 + K3 + K6, -3*K15 + 2*K3 + K9, M1, M2}","{K15 - K16, 2*K15 - K3, 2*K15 + K16, {K1 + K2, M3}}","Text[""(Demonstrably impossible)""]"
